percentile,control_ms,speculation_ms
0.06724949562878278,160.0,313.0
0.13449899125756556,325.0,313.0
0.20174848688634836,329.0,367.0
0.26899798251513113,349.0,394.0
0.3362474781439139,632.0,404.0
0.4034969737726967,654.0,440.0
0.47074646940147946,654.0,453.0
0.5379959650302623,654.0,453.0
0.605245460659045,654.0,558.0
0.6724949562878278,680.0,584.0
0.7397444519166106,724.0,584.0
0.8069939475453934,724.0,584.0
0.8742434431741762,724.0,594.0
0.9414929388029589,724.0,636.0
1.0087424344317417,724.0,677.0
1.0759919300605245,724.0,677.0
1.1432414256893073,737.0,678.0
1.21049092131809,770.0,678.0
1.277740416946873,770.0,685.0
1.3449899125756557,770.0,685.0
1.4122394082044385,770.0,685.0
1.4794889038332213,771.0,685.0
1.546738399462004,771.0,685.0
1.6139878950907869,814.0,685.0
1.6812373907195697,821.0,686.0
1.7484868863483525,821.0,686.0
1.8157363819771353,852.0,686.0
1.8829858776059178,866.0,686.0
1.9502353732347006,884.0,697.0
2.0174848688634834,884.0,699.0
2.0847343644922662,885.0,764.0
2.151983860121049,887.0,767.0
2.219233355749832,887.0,767.0
2.2864828513786146,888.0,767.0
2.3537323470073974,888.0,767.0
2.42098184263618,888.0,767.0
2.488231338264963,890.0,767.0
2.555480833893746,914.0,767.0
2.6227303295225286,932.0,767.0
2.6899798251513114,942.0,768.0
2.757229320780094,952.0,771.0
2.824478816408877,965.0,778.0
2.89172831203766,980.0,781.0
2.9589778076664426,997.0,823.0
3.0262273032952254,997.0,823.0
3.093476798924008,1002.0,836.0
3.160726294552791,1002.0,851.0
3.2279757901815738,1002.0,862.0
3.2952252858103566,1003.0,876.0
3.3624747814391394,1003.0,926.0
3.429724277067922,1019.0,939.0
3.496973772696705,1020.0,968.0
3.5642232683254877,1020.0,968.0
3.6314727639542705,1033.0,991.0
3.6987222595830533,1061.0,995.0
3.7659717552118357,1071.0,1024.0
3.8332212508406185,1071.0,1024.0
3.9004707464694013,1151.0,1024.0
3.967720242098184,1203.0,1024.0
4.034969737726967,1203.0,1027.0
4.10221923335575,1206.0,1042.0
4.1694687289845325,1216.0,1148.0
4.236718224613315,1228.0,1148.0
4.303967720242098,1245.0,1148.0
4.371217215870881,1258.0,1257.0
4.438466711499664,1261.0,1260.0
4.5057162071284464,1262.0,1284.0
4.572965702757229,1288.0,1295.0
4.640215198386012,1290.0,1295.0
4.707464694014795,1295.0,1331.0
4.774714189643578,1301.0,1335.0
