worker_id,task_index,predicted_ms,actual_ms,ratio,correction
5,11,1895.113,1949.0,1.028434716030126,1.0473
1,11,1948.896,1976.0,1.0139073608853424,1.0225
4,11,1964.529,1995.0,1.0155105880340785,1.0173
6,12,1915.311,1959.0,1.0228103947609553,1.0378
10,12,1902.281,1953.0,1.0266622018513565,1.044
12,12,1892.306,1955.0,1.0331310052391103,1.0498
8,12,1880.18,1958.0,1.0413896541820464,1.057
9,12,1869.762,1960.0,1.0482617573787467,1.0632
11,12,1911.47,1997.0,1.044745666947428,1.0458
5,12,1909.723,1963.0,1.0278977631834565,1.0415
1,12,1955.937,1988.0,1.0163926547736457,1.0207
4,12,1966.003,1989.0,1.011697337186159,1.0156
6,13,1927.162,1965.0,1.0196340525601895,1.0323
10,13,1915.787,1966.0,1.026210116260315,1.0386
12,13,1905.166,1966.0,1.0319310758222644,1.0444
8,13,1892.101,1969.0,1.0406421221700108,1.0521
9,13,1881.049,1931.0,1.0265548638020594,1.0522
11,13,1912.33,2005.0,1.0484592094460685,1.0466
5,13,1920.381,1979.0,1.030524671927081,1.0382
3,3,357.782,7226.0,20.196656064307316,6.913
1,13,1959.464,1980.0,1.010480417093654,1.0176
2,3,357.782,7337.0,20.506900850238413,6.913
7,3,357.782,7303.0,20.411870915809068,6.913
4,13,1969.253,2061.0,1.0465897474829289,1.0249
6,14,1937.333,1977.0,1.0204750551402366,1.0288
10,14,1925.608,1977.0,1.0266887133829938,1.035
12,14,1914.932,1978.0,1.032934850950321,1.041
8,14,1900.94,1976.0,1.0394857281134595,1.0483
9,14,1900.721,1976.0,1.0396054970719006,1.0484
11,14,1910.897,1982.0,1.0372092268709407,1.0438
5,14,1926.449,1983.0,1.0293550465130403,1.0355
1,14,1965.359,1986.0,1.0105024069393937,1.0155
4,14,1951.397,2051.0,1.0510418946016624,1.0327
6,15,1944.04,1984.0,1.02055513261044,1.0263
10,15,1932.274,2000.0,1.0350498945801683,1.035
12,15,1921.272,2007.0,1.0446204389591895,1.0421
8,15,1907.808,1962.0,1.0284053741256982,1.0423
9,15,1907.588,2089.0,1.095100199833507,1.0624
11,15,1916.07,2012.0,1.050066020552485,1.0457
5,15,1931.374,2026.0,1.0489941357810553,1.0396
1,15,1969.495,1996.0,1.0134577645538578,1.0149
4,15,1936.582,1968.0,1.0162234287006695,1.0278
6,16,1948.717,2002.0,1.0273426054167947,1.0266
10,16,1932.274,1986.0,1.027804545318107,1.0329
12,16,1919.257,1983.0,1.0332123316470905,1.0394
8,16,1918.745,2045.0,1.0658008229337406,1.0494
9,16,1882.458,1958.0,1.040129447775196,1.0557
11,16,1912.627,2015.0,1.0535248116857077,1.048
5,16,1923.871,2080.0,1.0811535700678476,1.052
3,4,289.31,5843.0,20.19632919705506,7.8391
1,16,1970.678,1996.0,1.0128493848310074,1.0143
2,4,289.31,5935.0,20.51432719228509,7.8391
7,4,289.31,5917.0,20.452110193218346,7.8391
4,16,1945.922,1969.0,1.0118596737176515,1.023
6,17,1948.132,1988.0,1.0204647323692644,1.0248
10,17,1936.34,1987.0,1.0261627606721961,1.0309
12,17,1924.163,1982.0,1.030058264294657,1.0366
8,17,1905.88,1965.0,1.0310197913824584,1.0439
9,17,1894.392,1965.0,1.0372721168586017,1.0502
11,17,1908.333,1947.0,1.02026218694536,1.0397
5,17,1901.058,1959.0,1.0304788175847344,1.0456
1,17,1971.861,1992.0,1.0102131945405888,1.0131
4,17,1955.013,1978.0,1.0117579780799413,1.0196
6,18,1951.645,1989.0,1.0191402637262412,1.0231
10,18,1940.124,1998.0,1.0298310829617077,1.0306
12,18,1929.373,2006.0,1.0397160113674235,1.0375
8,18,1915.938,1961.0,1.0235195502150904,1.0378
9,18,1904.39,2016.0,1.0586066929567997,1.0527
11,18,1923.626,1974.0,1.0261870030868787,1.0356
5,18,1912.822,1975.0,1.0325058996602925,1.0417
1,18,1974.23,1997.0,1.011533610572223,1.0126
4,18,1961.485,1991.0,1.0150472728570445,1.0183
3,5,255.131,5155.0,20.205306293629548,8.4874
6,19,1954.871,2001.0,1.023596953456264,1.0232
10,19,1940.706,1996.0,1.028491693229165,1.0299
12,19,1927.638,2000.0,1.0375392060127473,1.0375
8,19,1927.213,2050.0,1.0637122103265182,1.0456
9,19,1899.83,1955.0,1.0290394403709806,1.0456
11,19,1931.158,2043.0,1.0579144741134594,1.0423
2,5,255.131,5233.0,20.511031587694166,8.4874
5,19,1920.022,2022.0,1.0531129330809752,1.0451
7,5,255.131,5253.0,20.589422688736374,8.4874
1,19,1975.118,2004.0,1.0146229237949327,1.0132
4,19,1964.137,1989.0,1.012658485635167,1.0166
6,20,1954.578,1998.0,1.0222155370622201,1.0229
10,20,1941.871,1995.0,1.0273596958809312,1.0292
12,20,1927.638,1983.0,1.028720122761639,1.0349
8,20,1912.866,1980.0,1.03509602868157,1.0424
9,20,1912.741,2020.0,1.0560760709369434,1.0488
11,20,1918.782,1974.0,1.0287776308095449,1.0383
5,20,1913.707,2120.0,1.107797588659079,1.0639
1,20,1973.934,1996.0,1.011178691891421,1.0126
4,20,1967.383,1985.0,1.0089545350346119,1.0143
6,21,1955.164,1995.0,1.0203747614010896,1.0222
10,21,1943.328,1994.0,1.0260748571522667,1.0282
12,21,1932.566,1995.0,1.0323062705232318,1.0341
8,21,1918.622,1994.0,1.0392875720178336,1.0415
9,21,1907.02,1954.0,1.024635294857946,1.0415
11,21,1926.294,1991.0,1.0335909264110255,1.0369
5,21,1879.869,1938.0,1.0309228994147996,1.054
3,6,235.644,4768.0,20.233912172599343,8.9412
1,21,1975.118,1996.0,1.0105725328815798,1.012
2,6,235.644,4862.0,20.63281899814975,8.9412
4,21,1971.819,2068.0,1.0487778036422208,1.0246
7,6,235.644,4872.0,20.675255894484902,8.9412
6,22,1956.632,1995.0,1.0196092060234117,1.0214
10,22,1945.079,1996.0,1.0261793993971453,1.0276
12,22,1934.016,1995.0,1.0315323141070187,1.0333
8,22,1920.35,1995.0,1.0388731220871197,1.0407
9,22,1920.27,2035.0,1.059746806438678,1.047
11,22,1928.898,1956.0,1.0140505096692516,1.03
5,22,1897.516,1956.0,1.030821347487979,1.0471
1,22,1976.304,1998.0,1.0109780681514584,1.0117
4,22,1951.91,1970.0,1.0092678453412298,1.02
6,23,1958.1,1996.0,1.0193554976763188,1.0208
10,23,1946.246,1996.0,1.0255640859377488,1.027
12,23,1935.468,1997.0,1.0317917940260444,1.0329
8,23,1921.792,1996.0,1.0386139603037166,1.0401
9,23,1910.241,1956.0,1.023954569083168,1.0401
