# produced by tools/final_demo.py from https://p2pgpu.fly.dev
# PROVENANCE: REAL (deployed coordinator, physical devices)
t_sec,workers,devices_seen,tiles_done,total_tasks,units_remaining,asset_from_peer,asset_from_coordinator,asset_from_cache,coordinator_asset_egress,rejected_frames
131.8,0,0,0,0,393216,0,0,0,0,0
132.9,0,0,0,0,393216,0,0,0,0,0
134.0,0,0,0,0,393216,0,0,0,0,0
135.1,0,0,0,0,393216,0,0,0,0,0
136.1,0,0,0,0,393216,0,0,0,0,0
137.2,0,0,0,0,393216,0,0,0,0,0
138.3,0,0,0,0,393216,0,0,0,0,0
139.4,0,0,0,0,393216,0,0,0,0,0
140.4,0,0,0,0,393216,0,0,0,0,0
141.5,0,0,0,0,393216,0,0,0,0,0
142.6,0,0,0,0,393216,0,0,0,0,0
143.7,0,0,0,0,393216,0,0,0,0,0
144.7,0,0,0,0,393216,0,0,0,0,0
145.8,0,0,0,0,393216,0,0,0,0,0
146.9,0,0,0,0,393216,0,0,0,0,0
147.9,0,0,0,0,393216,0,0,0,0,0
149.0,0,0,0,0,393216,0,0,0,0,0
150.1,0,0,0,0,393216,0,0,0,0,0
151.2,0,0,0,0,393216,0,0,0,0,0
152.2,0,0,0,0,393216,0,0,0,0,0
153.3,0,0,0,0,393216,0,0,0,0,0
154.4,0,0,0,0,393216,0,0,0,0,0
155.5,0,0,0,0,393216,0,0,0,0,0
156.5,0,0,0,0,393216,0,0,0,0,0
157.6,0,0,0,0,393216,0,0,0,0,0
158.7,0,0,0,0,393216,0,0,0,0,0
159.8,0,0,0,0,393216,0,0,0,0,0
160.9,0,0,0,0,393216,0,0,0,0,0
161.9,0,0,0,0,393216,0,0,0,0,0
163.0,0,0,0,0,393216,0,0,0,0,0
164.1,0,0,0,0,393216,0,0,0,0,0
165.2,0,0,0,0,393216,0,0,0,0,0
166.2,0,0,0,0,393216,0,0,0,0,0
167.3,0,0,0,0,393216,0,0,0,0,0
168.4,0,0,0,0,393216,0,0,0,0,0
169.6,0,0,0,0,393216,0,0,0,0,0
170.7,0,0,0,0,393216,0,0,0,0,0
171.8,0,0,0,0,393216,0,0,0,0,0
172.8,0,0,0,0,393216,0,0,0,0,0
173.9,0,0,0,0,393216,0,0,0,0,0
175.0,0,0,0,0,393216,0,0,0,0,0
176.1,0,0,0,0,393216,0,0,0,0,0
177.2,0,0,0,0,393216,0,0,0,0,0
178.2,0,0,0,0,393216,0,0,0,0,0
179.3,0,0,0,0,393216,0,0,0,0,0
180.4,0,0,0,0,393216,0,0,0,0,0
181.5,0,0,0,0,393216,0,0,0,0,0
182.5,0,0,0,0,393216,0,0,0,0,0
183.6,0,0,0,0,393216,0,0,0,0,0
184.7,0,0,0,0,393216,0,0,0,0,0
185.8,0,0,0,0,393216,0,0,0,0,0
186.8,0,0,0,0,393216,0,0,0,0,0
187.9,0,0,0,0,393216,0,0,0,0,0
189.0,0,0,0,0,393216,0,0,0,0,0
190.1,0,0,0,0,393216,0,0,0,0,0
191.1,0,0,0,0,393216,0,0,0,0,0
192.2,0,0,0,0,393216,0,0,0,0,0
193.3,0,0,0,0,393216,0,0,0,0,0
194.4,0,0,0,0,393216,0,0,0,0,0
195.4,0,0,0,0,393216,0,0,0,0,0
196.5,0,0,0,0,393216,0,0,0,0,0
197.6,0,0,0,0,393216,0,0,0,0,0
198.7,0,0,0,0,393216,0,0,0,0,0
199.7,0,0,0,0,393216,0,0,0,0,0
200.8,0,0,0,0,393216,0,0,0,0,0
201.9,0,0,0,0,393216,0,0,0,0,0
203.0,0,0,0,0,393216,0,0,0,0,0
204.1,0,0,0,0,393216,0,0,0,0,0
205.1,0,0,0,0,393216,0,0,0,0,0
206.2,0,0,0,0,393216,0,0,0,0,0
207.3,0,0,0,0,393216,0,0,0,0,0
208.4,0,0,0,0,393216,0,0,0,0,0
209.4,0,0,0,0,393216,0,0,0,0,0
210.5,0,0,0,0,393216,0,0,0,0,0
211.6,0,0,0,0,393216,0,0,0,0,0
212.7,0,0,0,0,393216,0,0,0,0,0
213.7,0,0,0,0,393216,0,0,0,0,0
214.8,0,0,0,0,393216,0,0,0,0,0
215.9,0,0,0,0,393216,0,0,0,0,0
217.0,0,0,0,0,393216,0,0,0,0,0
218.0,0,0,0,0,393216,0,0,0,0,0
219.1,0,0,0,0,393216,0,0,0,0,0
220.2,0,0,0,0,393216,0,0,0,0,0
221.3,0,0,0,0,393216,0,0,0,0,0
222.3,0,0,0,0,393216,0,0,0,0,0
223.4,0,0,0,0,393216,0,0,0,0,0
224.5,0,0,0,0,393216,0,0,0,0,0
225.5,0,0,0,0,393216,0,0,0,0,0
226.6,0,0,0,0,393216,0,0,0,0,0
227.7,0,0,0,0,393216,0,0,0,0,0
228.8,0,0,0,0,393216,0,0,0,0,0
229.9,0,0,0,0,393216,0,0,0,0,0
230.9,0,0,0,0,393216,0,0,0,0,0
232.0,0,0,0,0,393216,0,0,0,0,0
233.1,0,0,0,0,393216,0,0,0,0,0
234.2,0,0,0,0,393216,0,0,0,0,0
235.3,0,0,0,0,393216,0,0,0,0,0
236.3,0,0,0,0,393216,0,0,0,0,0
237.4,0,0,0,0,393216,0,0,0,0,0
238.5,0,0,0,0,393216,0,0,0,0,0
239.6,0,0,0,0,393216,0,0,0,0,0
240.6,0,0,0,0,393216,0,0,0,0,0
241.7,0,0,0,0,393216,0,0,0,0,0
242.8,0,0,0,0,393216,0,0,0,0,0
243.9,0,0,0,0,393216,0,0,0,0,0
245.0,0,0,0,0,393216,0,0,0,0,0
246.0,0,0,0,0,393216,0,0,0,0,0
247.1,0,0,0,0,393216,0,0,0,0,0
248.2,0,0,0,0,393216,0,0,0,0,0
249.3,0,0,0,0,393216,0,0,0,0,0
250.3,0,0,0,0,393216,0,0,0,0,0
251.4,0,0,0,0,393216,0,0,0,0,0
252.4,0,0,0,0,393216,0,0,0,0,0
253.5,0,0,0,0,393216,0,0,0,0,0
